step,vx_100_100,vy_100_100
417,5.0046098232e-01,-4.9977049232e-01
418,5.0044393539e-01,-4.9984350801e-01
419,5.0038528442e-01,-4.9993339181e-01
420,5.0035274029e-01,-4.9996545911e-01
421,5.0037860870e-01,-4.9997365475e-01
422,5.0034803152e-01,-4.9987617135e-01
423,5.0030684471e-01,-4.9978810549e-01
424,5.0024604797e-01,-4.9970507622e-01
425,5.0021684170e-01,-4.9959060550e-01
426,5.0022131205e-01,-4.9947291613e-01
427,5.0026452541e-01,-4.9939209223e-01
428,5.0034332275e-01,-4.9941223860e-01
429,5.0038605928e-01,-4.9959549308e-01
430,5.0043284893e-01,-4.9974104762e-01
431,5.0046330690e-01,-4.9985337257e-01
432,5.0038832426e-01,-4.9982404709e-01
433,5.0030505657e-01,-4.9981966615e-01
434,5.0022238493e-01,-4.9983885884e-01
435,5.0023734570e-01,-4.9984392524e-01
436,5.0028431416e-01,-4.9982410669e-01
437,5.0029122829e-01,-4.9977511168e-01
438,5.0031912327e-01,-4.9973210692e-01
439,5.0036776066e-01,-4.9974599481e-01
440,5.0034534931e-01,-4.9976757169e-01
441,5.0036603212e-01,-4.9977427721e-01
442,5.0031870604e-01,-4.9973094463e-01
443,5.0024175644e-01,-4.9972879887e-01
444,5.0019896030e-01,-4.9973040819e-01
445,5.0021880865e-01,-4.9973973632e-01
446,5.0026243925e-01,-4.9969497323e-01
447,5.0027900934e-01,-4.9962481856e-01
448,5.0031191111e-01,-4.9965077639e-01
449,5.0038552284e-01,-4.9965330958e-01
450,5.0048500299e-01,-4.9966448545e-01
451,5.0043791533e-01,-4.9967053533e-01
452,5.0033378601e-01,-4.9962079525e-01
453,5.0019347668e-01,-4.9961861968e-01
454,5.0019121170e-01,-4.9963432550e-01
455,5.0026953220e-01,-4.9976006150e-01
456,5.0032567978e-01,-4.9982252717e-01
457,5.0032281876e-01,-4.9987274408e-01
458,5.0026369095e-01,-4.9979209900e-01
459,5.0018477440e-01,-4.9967792630e-01
460,5.0013333559e-01,-4.9954327941e-01
461,5.0012433529e-01,-4.9950253963e-01
462,5.0017637014e-01,-4.9957382679e-01
463,5.0026911497e-01,-4.9975398183e-01
464,5.0037181377e-01,-4.9993976951e-01
465,5.0038796663e-01,-4.9996054173e-01
466,5.0034284592e-01,-4.9988123775e-01
467,5.0025564432e-01,-4.9978545308e-01
468,5.0023347139e-01,-4.9977734685e-01
469,5.0034278631e-01,-4.9971851707e-01
470,5.0044453144e-01,-4.9966236949e-01
471,5.0045257807e-01,-4.9956783652e-01
472,5.0036281347e-01,-4.9943831563e-01
473,5.0028753281e-01,-4.9941039085e-01
474,5.0024485588e-01,-4.9953824282e-01
475,5.0030779839e-01,-4.9971005321e-01
476,5.0039124489e-01,-4.9977919459e-01
477,5.0035160780e-01,-4.9969336390e-01
478,5.0024181604e-01,-4.9965932965e-01
479,5.0013476610e-01,-4.9966618419e-01
480,5.0015866756e-01,-4.9967372417e-01
481,5.0021404028e-01,-4.9962925911e-01
482,5.0027436018e-01,-4.9964806437e-01
483,5.0022399426e-01,-4.9965602160e-01
484,5.0018984079e-01,-4.9961286783e-01
485,5.0015407801e-01,-4.9956849217e-01
486,5.0013709068e-01,-4.9957802892e-01
487,5.0020384789e-01,-4.9960121512e-01
488,5.0030052662e-01,-4.9964895844e-01
489,5.0029689074e-01,-4.9972638488e-01
490,5.0034880638e-01,-4.9983954430e-01
491,5.0035077333e-01,-4.9986079335e-01
492,5.0038087368e-01,-4.9985119700e-01
493,5.0035434961e-01,-4.9984431267e-01
494,5.0029212236e-01,-4.9981909990e-01
495,5.0028836727e-01,-4.9979451299e-01
496,5.0024211407e-01,-4.9973815680e-01
497,5.0026303530e-01,-4.9968451262e-01
498,5.0025075674e-01,-4.9960273504e-01
499,5.0031304359e-01,-4.9959185719e-01
500,5.0030881166e-01,-4.9955567718e-01
501,5.0029522181e-01,-4.9952784181e-01
502,5.0024938583e-01,-4.9949124455e-01
503,5.0026202202e-01,-4.9950498343e-01
504,5.0021392107e-01,-4.9952632189e-01
