step,vx_50_50,vy_50_50
404,4.8475930095e-01,-4.8435586691e-01
405,4.8487591743e-01,-4.8452562094e-01
406,4.8484843969e-01,-4.8446366191e-01
407,4.8451948166e-01,-4.8406028748e-01
408,4.8422339559e-01,-4.8360440135e-01
409,4.8409351707e-01,-4.8320293427e-01
410,4.8421069980e-01,-4.8299154639e-01
411,4.8444139957e-01,-4.8301064968e-01
412,4.8464947939e-01,-4.8315337300e-01
413,4.8488742113e-01,-4.8340585828e-01
414,4.8499920964e-01,-4.8357117176e-01
415,4.8481991887e-01,-4.8344996572e-01
416,4.8438465595e-01,-4.8319065571e-01
417,4.8400473595e-01,-4.8292070627e-01
418,4.8393973708e-01,-4.8294505477e-01
419,4.8409378529e-01,-4.8305377364e-01
420,4.8435857892e-01,-4.8321118951e-01
421,4.8447537422e-01,-4.8331376910e-01
422,4.8437270522e-01,-4.8321309686e-01
423,4.8421096802e-01,-4.8285362124e-01
424,4.8409777880e-01,-4.8255851865e-01
425,4.8413795233e-01,-4.8247075081e-01
426,4.8423880339e-01,-4.8261576891e-01
427,4.8428294063e-01,-4.8284220695e-01
428,4.8420512676e-01,-4.8295688629e-01
429,4.8400482535e-01,-4.8292079568e-01
430,4.8379138112e-01,-4.8276856542e-01
431,4.8367938399e-01,-4.8239856958e-01
432,4.8372218013e-01,-4.8215150833e-01
433,4.8385310173e-01,-4.8194572330e-01
434,4.8405507207e-01,-4.8201841116e-01
435,4.8427402973e-01,-4.8210114241e-01
436,4.8433333635e-01,-4.8211294413e-01
437,4.8423343897e-01,-4.8212572932e-01
438,4.8394572735e-01,-4.8202326894e-01
439,4.8374688625e-01,-4.8194956779e-01
440,4.8363786936e-01,-4.8180916905e-01
441,4.8369127512e-01,-4.8165285587e-01
442,4.8386570811e-01,-4.8137396574e-01
443,4.8390215635e-01,-4.8117968440e-01
444,4.8389413953e-01,-4.8105442524e-01
445,4.8399424553e-01,-4.8125395179e-01
446,4.8416745663e-01,-4.8162409663e-01
447,4.8427537084e-01,-4.8194646835e-01
448,4.8422470689e-01,-4.8198190331e-01
449,4.8378059268e-01,-4.8176512122e-01
450,4.8334676027e-01,-4.8139768839e-01
451,4.8311832547e-01,-4.8115307093e-01
452,4.8332247138e-01,-4.8103559017e-01
453,4.8363587260e-01,-4.8116210103e-01
454,4.8385247588e-01,-4.8134940863e-01
455,4.8386213183e-01,-4.8153504729e-01
456,4.8379322886e-01,-4.8153221607e-01
457,4.8350739479e-01,-4.8141393065e-01
458,4.8336854577e-01,-4.8113349080e-01
459,4.8314157128e-01,-4.8078712821e-01
460,4.8303732276e-01,-4.8050528765e-01
461,4.8294517398e-01,-4.8034435511e-01
462,4.8309460282e-01,-4.8050993681e-01
463,4.8328348994e-01,-4.8081025481e-01
464,4.8341304064e-01,-4.8114717007e-01
465,4.8334673047e-01,-4.8115053773e-01
466,4.8301365972e-01,-4.8100194335e-01
467,4.8269817233e-01,-4.8068401217e-01
468,4.8254725337e-01,-4.8046734929e-01
469,4.8269829154e-01,-4.8055005074e-01
470,4.8298990726e-01,-4.8075553775e-01
471,4.8307630420e-01,-4.8092940450e-01
472,4.8293843865e-01,-4.8094359040e-01
473,4.8268094659e-01,-4.8087990284e-01
474,4.8241204023e-01,-4.8082107306e-01
475,4.8224100471e-01,-4.8072624207e-01
476,4.8220345378e-01,-4.8057496548e-01
477,4.8217579722e-01,-4.8032134771e-01
478,4.8205491900e-01,-4.8005971313e-01
479,4.8189514875e-01,-4.7996908426e-01
480,4.8191905022e-01,-4.8013946414e-01
481,4.8205500841e-01,-4.8052462935e-01
482,4.8217687011e-01,-4.8077994585e-01
483,4.8209032416e-01,-4.8076117039e-01
484,4.8180964589e-01,-4.8047220707e-01
485,4.8160237074e-01,-4.8009559512e-01
486,4.8165965080e-01,-4.7989466786e-01
487,4.8186945915e-01,-4.7979453206e-01
488,4.8214775324e-01,-4.7963714600e-01
489,4.8218923807e-01,-4.7939452529e-01
490,4.8202678561e-01,-4.7922635078e-01
491,4.8174685240e-01,-4.7919663787e-01
492,4.8154690862e-01,-4.7938916087e-01
493,4.8152676225e-01,-4.7966036201e-01
494,4.8159217834e-01,-4.7968891263e-01
495,4.8154106736e-01,-4.7960513830e-01
496,4.8147940636e-01,-4.7938251495e-01
497,4.8151558638e-01,-4.7920340300e-01
498,4.8169413209e-01,-4.7920969129e-01
499,4.8192119598e-01,-4.7927844524e-01
500,4.8194006085e-01,-4.7914662957e-01
501,4.8179292679e-01,-4.7885891795e-01
502,4.8146599531e-01,-4.7840732336e-01
503,4.8124328256e-01,-4.7804868221e-01
504,4.8122018576e-01,-4.7788363695e-01
505,4.8134371638e-01,-4.7800463438e-01
506,4.8167636991e-01,-4.7829383612e-01
507,4.8190036416e-01,-4.7858476639e-01
508,4.8185122013e-01,-4.7877147794e-01
509,4.8158669472e-01,-4.7869649529e-01
510,4.8126003146e-01,-4.7850722075e-01
511,4.8095801473e-01,-4.7830742598e-01
512,4.8076656461e-01,-4.7830063105e-01
513,4.8071691394e-01,-4.7833579779e-01
514,4.8081129789e-01,-4.7846674919e-01
515,4.8074778914e-01,-4.7849255800e-01
516,4.8063135147e-01,-4.7841307521e-01
517,4.8043563962e-01,-4.7824481130e-01
518,4.8030793667e-01,-4.7800683975e-01
519,4.8031708598e-01,-4.7793188691e-01
520,4.8037853837e-01,-4.7786101699e-01
521,4.8042285442e-01,-4.7780635953e-01
522,4.8040524125e-01,-4.7777003050e-01
523,4.8027148843e-01,-4.7764819860e-01
524,4.8025685549e-01,-4.7773906589e-01
525,4.8028036952e-01,-4.7781124711e-01
526,4.8043382168e-01,-4.7776404023e-01
527,4.8046544194e-01,-4.7748675942e-01
528,4.8044243455e-01,-4.7717273235e-01
529,4.8033347726e-01,-4.7689196467e-01
530,4.8021382093e-01,-4.7673049569e-01
531,4.8022812605e-01,-4.7677052021e-01
532,4.8027196527e-01,-4.7695258260e-01
533,4.8029369116e-01,-4.7718769312e-01
534,4.8026159406e-01,-4.7746974230e-01
535,4.8019450903e-01,-4.7766843438e-01
536,4.8004683852e-01,-4.7767347097e-01
537,4.7977030277e-01,-4.7749054432e-01
538,4.7945791483e-01,-4.7710931301e-01
539,4.7921171784e-01,-4.7672763467e-01
540,4.7910061479e-01,-4.7655132413e-01
541,4.7914990783e-01,-4.7656688094e-01
542,4.7943857312e-01,-4.7684088349e-01
543,4.7975593805e-01,-4.7711172700e-01
544,4.7993719578e-01,-4.7725573182e-01
545,4.7997903824e-01,-4.7711658478e-01
546,4.7969385982e-01,-4.7668290138e-01
547,4.7936320305e-01,-4.7629216313e-01
548,4.7926536202e-01,-4.7604653239e-01
549,4.7934895754e-01,-4.7604170442e-01
550,4.7948181629e-01,-4.7623607516e-01
551,4.7945663333e-01,-4.7634792328e-01
552,4.7927600145e-01,-4.7629660368e-01
553,4.7901830077e-01,-4.7619780898e-01
554,4.7883293033e-01,-4.7621670365e-01
555,4.7884628177e-01,-4.7643855214e-01
556,4.7895914316e-01,-4.7671017051e-01
557,4.7912415862e-01,-4.7670730948e-01
558,4.7902795672e-01,-4.7641921043e-01
559,4.7873109579e-01,-4.7590091825e-01
560,4.7842347622e-01,-4.7549456358e-01
561,4.7834309936e-01,-4.7548025846e-01
562,4.7844097018e-01,-4.7574055195e-01
563,4.7858673334e-01,-4.7603172064e-01
564,4.7867676616e-01,-4.7633734345e-01
565,4.7861447930e-01,-4.7642341256e-01
566,4.7844469547e-01,-4.7637614608e-01
567,4.7834011912e-01,-4.7620871663e-01
568,4.7825235128e-01,-4.7590339184e-01
569,4.7819522023e-01,-4.7543400526e-01
570,4.7811365128e-01,-4.7495371103e-01
571,4.7802299261e-01,-4.7461679578e-01
572,4.7804969549e-01,-4.7464078665e-01
573,4.7816327214e-01,-4.7491875291e-01
574,4.7839993238e-01,-4.7536355257e-01
575,4.7856789827e-01,-4.7572511435e-01
576,4.7854131460e-01,-4.7581627965e-01
577,4.7830578685e-01,-4.7565349936e-01
578,4.7811216116e-01,-4.7537940741e-01
579,4.7806724906e-01,-4.7507387400e-01
580,4.7815540433e-01,-4.7478419542e-01
581,4.7833812237e-01,-4.7463956475e-01
582,4.7853133082e-01,-4.7453889251e-01
