step,vx_300_100,vy_300_100,pressure_300_100,Cd,Cl,energy
141,4.3295726776e+00,1.9293442369e-02,9.2601913452e+01,9.0285807848e-01,-4.9052797258e-02,1.0377587500e+06
142,4.3230934143e+00,1.7601063475e-02,1.1130042267e+02,9.0394496918e-01,-5.6501232088e-02,1.0380380625e+06
143,4.3161478043e+00,1.7348837107e-02,1.2766592407e+02,9.0843576193e-01,-4.4719852507e-02,1.0383395625e+06
144,4.3100862503e+00,1.8399436027e-02,1.4372305298e+02,9.1163575649e-01,-4.9148369581e-02,1.0386560625e+06
145,4.3053703308e+00,1.8817732111e-02,1.5818693542e+02,9.1499167681e-01,-4.0631245822e-02,1.0389848125e+06
146,4.2968258858e+00,1.9673872739e-02,1.7132031250e+02,9.1225111485e-01,-3.9226625115e-02,1.0393372500e+06
147,4.2895798683e+00,1.8938213587e-02,1.8302546692e+02,9.1140645742e-01,-3.4733787179e-02,1.0397046875e+06
148,4.2820701599e+00,1.7780704424e-02,1.9269496155e+02,9.1672062874e-01,-3.0455011874e-02,1.0400799375e+06
149,4.2734355927e+00,1.4822782949e-02,1.9927658081e+02,9.1896659136e-01,-2.6866273955e-02,1.0404584375e+06
150,4.2660870552e+00,1.3474170119e-02,2.0406925964e+02,9.1594952345e-01,-2.1605728194e-02,1.0408450625e+06
151,4.2584595680e+00,1.0492201895e-02,2.0605247498e+02,9.1389828920e-01,-1.6864061356e-02,1.0412445000e+06
152,4.2491621971e+00,3.0224588700e-03,2.0464543152e+02,9.1562414169e-01,-4.8585934564e-03,1.0416445000e+06
153,4.2425527573e+00,-5.1416130736e-03,2.0325817871e+02,9.1577911377e-01,5.1483069547e-03,1.0420406875e+06
154,4.2356643677e+00,-1.8285125494e-02,2.0028057861e+02,9.1173702478e-01,4.3445960619e-03,1.0424358125e+06
155,4.2274546623e+00,-3.6063216627e-02,1.9661979675e+02,9.1881656647e-01,1.5843879431e-02,1.0428174375e+06
156,4.2224287987e+00,-5.8493610471e-02,1.9100625610e+02,9.1555619240e-01,2.8426235542e-02,1.0431931250e+06
157,4.2173347473e+00,-8.1872366369e-02,1.8664299011e+02,9.1976267099e-01,3.1818944961e-02,1.0435491250e+06
158,4.2163491249e+00,-1.0630488396e-01,1.8311413574e+02,9.2421996593e-01,4.2025193572e-02,1.0438911250e+06
159,4.2178807259e+00,-1.2912753224e-01,1.7767243958e+02,9.2503952980e-01,5.0726883113e-02,1.0442242500e+06
160,4.2235746384e+00,-1.5119157732e-01,1.7199760437e+02,9.2618900537e-01,5.7637754828e-02,1.0445365625e+06
161,4.2336821556e+00,-1.7313797772e-01,1.6217919922e+02,9.2664134502e-01,5.9989776462e-02,1.0448358750e+06
162,4.2508959770e+00,-1.9265565276e-01,1.5184819031e+02,9.2758208513e-01,6.7941203713e-02,1.0451070000e+06
163,4.2689814568e+00,-2.1357740462e-01,1.3556033325e+02,9.2963916063e-01,7.9631440341e-02,1.0453569375e+06
164,4.2960872650e+00,-2.2525808215e-01,1.1991083527e+02,9.2771649361e-01,7.5028449297e-02,1.0455852500e+06
165,4.3344473839e+00,-2.3305244744e-01,9.8738685608e+01,9.3291079998e-01,8.2551948726e-02,1.0457910625e+06
166,4.3730716705e+00,-2.4864152074e-01,7.4629852295e+01,9.4142830372e-01,8.1030987203e-02,1.0459688125e+06
167,4.4120464325e+00,-2.5617802143e-01,5.7843669891e+01,9.4266831875e-01,8.4168285131e-02,1.0461262500e+06
168,4.4510202408e+00,-2.6838248968e-01,3.2506332397e+01,9.3813967705e-01,8.6774021387e-02,1.0462647500e+06
169,4.4878358841e+00,-2.7569079399e-01,8.6308794022e+00,9.4451093674e-01,7.5355134904e-02,1.0463724375e+06
170,4.5244965553e+00,-2.8675350547e-01,-2.2362613678e+01,9.4802379608e-01,6.8215750158e-02,1.0464507500e+06
171,4.5558395386e+00,-2.8241109848e-01,-4.7166351318e+01,9.5334762335e-01,6.3672393560e-02,1.0465094375e+06
172,4.5656828880e+00,-2.8445419669e-01,-7.8923500061e+01,9.5568299294e-01,4.9102731049e-02,1.0465476875e+06
173,4.5704946518e+00,-2.8163775802e-01,-1.1024388885e+02,9.5647358894e-01,4.6656507999e-02,1.0465680625e+06
174,4.5625104904e+00,-2.6852008700e-01,-1.3862741089e+02,9.5558238029e-01,3.0239582062e-02,1.0465688125e+06
175,4.5464005470e+00,-2.5131270289e-01,-1.6933354187e+02,9.6363729239e-01,1.6223305836e-02,1.0465447500e+06
176,4.5199151039e+00,-2.3110835254e-01,-1.9886799622e+02,9.5658791065e-01,6.4873695374e-03,1.0465206875e+06
177,4.4780712128e+00,-1.9154654443e-01,-2.2624888611e+02,9.6631312370e-01,-7.1664708667e-03,1.0464744375e+06
178,4.4186944962e+00,-1.4311276376e-01,-2.5571015930e+02,9.5786780119e-01,-2.5269854814e-02,1.0464106875e+06
179,4.3407878876e+00,-7.9023048282e-02,-2.7865319824e+02,9.6523118019e-01,-4.3246090412e-02,1.0463330000e+06
180,4.2587456703e+00,-4.4931378216e-04,-2.9837594604e+02,9.6689695120e-01,-5.0875779241e-02,1.0462386875e+06
181,4.1760745049e+00,1.0097867250e-01,-3.1002728271e+02,9.7321242094e-01,-6.1735086143e-02,1.0461363750e+06
182,4.0888276100e+00,2.2028072178e-01,-3.1353668213e+02,9.7247022390e-01,-7.9682089388e-02,1.0460340000e+06
183,4.0283160210e+00,3.2718384266e-01,-3.0412228394e+02,9.7475177050e-01,-8.8850453496e-02,1.0459384375e+06
184,3.9945278168e+00,4.3645769358e-01,-2.9293820190e+02,9.8113924265e-01,-9.8721347749e-02,1.0458430000e+06
185,4.0057334900e+00,5.2311050892e-01,-2.7057366943e+02,9.8306071758e-01,-1.1477616429e-01,1.0457593750e+06
186,4.0681581497e+00,5.7010829449e-01,-2.5170843506e+02,9.8319447041e-01,-1.1231138557e-01,1.0456846875e+06
187,4.1666226387e+00,5.8314645290e-01,-2.3493078613e+02,9.9533301592e-01,-1.2242766470e-01,1.0456121250e+06
188,4.2783679962e+00,5.7175052166e-01,-2.1722526550e+02,9.9571919441e-01,-1.2190884352e-01,1.0455487500e+06
189,4.3927173615e+00,5.5810272694e-01,-2.1144334412e+02,1.0020169020e+00,-1.2476737797e-01,1.0455111250e+06
190,4.4780778885e+00,5.5925995111e-01,-2.0509524536e+02,9.9925816059e-01,-1.2110396475e-01,1.0454923750e+06
191,4.5427494049e+00,5.7134455442e-01,-1.9803141785e+02,1.0072162151e+00,-1.2072557956e-01,1.0454871250e+06
192,4.5922722816e+00,5.8814418316e-01,-2.0011022949e+02,1.0058437586e+00,-1.1326151341e-01,1.0454925625e+06
193,4.6269650459e+00,6.1268132925e-01,-1.9885353088e+02,1.0134911537e+00,-9.6716985106e-02,1.0455226250e+06
