step,vx_600_200,vy_600_200,pressure_600_200,Cd,Cl,singularity_count
124,3.9871773720e+00,-1.1485000869e-05,3.3528448486e+02,1.3434878588e+00,-7.2174072557e-05,0.0000000000e+00
125,3.9872555733e+00,-1.3140061128e-05,3.3528448486e+02,1.3434878588e+00,-7.2174072557e-05,0.0000000000e+00
126,3.9877357483e+00,6.2065606471e-05,4.2264541626e+02,1.2459636927e+00,-3.9672850107e-06,0.0000000000e+00
127,3.9881286621e+00,6.3038038206e-05,4.2264541626e+02,1.2459636927e+00,-3.9672850107e-06,0.0000000000e+00
128,3.9881861210e+00,-4.1630755732e-05,3.3407171631e+02,1.3770375252e+00,-2.5321959401e-04,0.0000000000e+00
129,3.9885988235e+00,3.6621167965e-06,4.2352633667e+02,1.2880042791e+00,-2.1980285237e-04,0.0000000000e+00
130,3.9889636040e+00,2.8669237508e-06,4.2352633667e+02,1.2880042791e+00,-2.1980285237e-04,0.0000000000e+00
131,3.9893260002e+00,4.0039049054e-06,4.2352633667e+02,1.2880042791e+00,-2.1980285237e-04,0.0000000000e+00
132,3.9894812107e+00,3.3595399145e-05,3.7038726807e+02,1.3325276375e+00,3.0570983654e-04,0.0000000000e+00
133,3.9896185398e+00,3.2088904845e-05,3.7038726807e+02,1.3325276375e+00,3.0570983654e-04,0.0000000000e+00
134,3.9897696972e+00,2.8693602871e-05,3.7038726807e+02,1.3325276375e+00,3.0570983654e-04,0.0000000000e+00
135,3.9905707836e+00,-4.4307438657e-05,6.0904248047e+02,1.2534919977e+00,-1.4653014950e-03,0.0000000000e+00
136,3.9907472134e+00,-5.6274009694e-05,4.4722628784e+02,1.3246405125e+00,1.6075134045e-04,0.0000000000e+00
137,3.9909551144e+00,-5.3055860917e-05,4.4722628784e+02,1.3246405125e+00,1.6075134045e-04,0.0000000000e+00
138,3.9916961193e+00,-7.1872913395e-05,6.6793310547e+02,1.2851309776e+00,-9.7167969216e-04,0.0000000000e+00
139,3.9924204350e+00,-7.2334863944e-05,6.6793310547e+02,1.2851309776e+00,-9.7167969216e-04,0.0000000000e+00
140,3.9922828674e+00,-2.2399271256e-04,4.6558670044e+02,1.3407683372e+00,5.3588865558e-04,0.0000000000e+00
141,3.9923427105e+00,-2.2609834559e-04,4.6558670044e+02,1.3407683372e+00,5.3588865558e-04,0.0000000000e+00
142,3.9934329987e+00,-5.7019678934e-07,9.0746813965e+02,1.2583250999e+00,-1.2014770182e-03,0.0000000000e+00
143,3.9934725761e+00,-7.6971235103e-05,6.0307885742e+02,1.3229504824e+00,-3.8909911382e-06,0.0000000000e+00
144,3.9936184883e+00,-7.7318691183e-05,6.0307885742e+02,1.3229504824e+00,-3.8909911382e-06,0.0000000000e+00
145,3.9946701527e+00,-1.2159728794e-04,1.0144790039e+03,1.2887811661e+00,-9.2407228658e-04,0.0000000000e+00
146,3.9948759079e+00,6.7229644628e-05,6.9939434814e+02,1.3014886379e+00,-1.7341613420e-04,0.0000000000e+00
147,3.9949226379e+00,6.8991874286e-05,6.9939434814e+02,1.3014886379e+00,-1.7341613420e-04,0.0000000000e+00
148,3.9960587025e+00,-2.3141445126e-04,1.0646835938e+03,1.3174598217e+00,-7.1678159293e-04,0.0000000000e+00
149,3.9974353313e+00,-2.2455572616e-04,1.0646835938e+03,1.3174598217e+00,-7.1678159293e-04,0.0000000000e+00
150,3.9967489243e+00,-2.6627196348e-04,6.2134436035e+02,1.2841511965e+00,1.5144348436e-04,0.0000000000e+00
151,3.9961812496e+00,-2.7551405947e-04,6.2134436035e+02,1.2841511965e+00,1.5144348436e-04,0.0000000000e+00
152,3.9980270863e+00,2.5767835905e-04,1.2077912598e+03,1.2959986925e+00,-5.3268432384e-04,0.0000000000e+00
153,3.9992494583e+00,2.6085056015e-04,1.2077912598e+03,1.2959986925e+00,-5.3268432384e-04,0.0000000000e+00
154,3.9985675812e+00,3.1620216760e-05,5.3221636963e+02,1.2918980122e+00,2.0034790214e-04,0.0000000000e+00
155,3.9996514320e+00,-6.5124098910e-05,1.1433717041e+03,1.2960647345e+00,-5.9516908368e-04,0.0000000000e+00
156,3.9999160767e+00,2.6416309993e-04,7.9661437988e+02,1.2702491283e+00,-1.0452270544e-05,0.0000000000e+00
157,3.9999022484e+00,2.7069612406e-04,7.9661437988e+02,1.2702491283e+00,-1.0452270544e-05,0.0000000000e+00
158,3.9996631145e+00,-2.1401563572e-05,7.9380267334e+02,1.2760360241e+00,-2.5634764825e-05,0.0000000000e+00
159,4.0017652512e+00,3.2437915797e-04,1.2772658691e+03,1.2985219955e+00,-5.7640078012e-04,0.0000000000e+00
160,4.0019736290e+00,2.2236435325e-04,8.3923022461e+02,1.2813944817e+00,-7.0190428232e-05,0.0000000000e+00
161,4.0023159981e+00,2.3027503630e-04,8.3923022461e+02,1.2813944817e+00,-7.0190428232e-05,0.0000000000e+00
162,4.0026831627e+00,2.2992707090e-04,8.3923022461e+02,1.2813944817e+00,-7.0190428232e-05,0.0000000000e+00
163,4.0030817986e+00,2.2924573568e-04,8.3923022461e+02,1.2813944817e+00,-7.0190428232e-05,0.0000000000e+00
164,4.0035128593e+00,2.2857190925e-04,8.3923022461e+02,1.2813944817e+00,-7.0190428232e-05,0.0000000000e+00
165,4.0050101280e+00,3.5922977258e-04,1.2739577637e+03,1.2297353745e+00,-5.2223203238e-04,0.0000000000e+00
166,4.0052061081e+00,1.2406331371e-04,7.6055371094e+02,1.2701692581e+00,-2.2285460727e-04,0.0000000000e+00
167,4.0056757927e+00,1.2883851014e-04,7.6055371094e+02,1.2701692581e+00,-2.2285460727e-04,0.0000000000e+00
168,4.0061793327e+00,1.2693637109e-04,7.6055371094e+02,1.2701692581e+00,-2.2285460727e-04,0.0000000000e+00
169,4.0068492889e+00,-1.0356226994e-05,1.1527012939e+03,1.2520213127e+00,-4.2694091098e-04,0.0000000000e+00
170,4.0072355270e+00,2.1335604833e-04,6.5661108398e+02,1.2579677105e+00,8.7966916908e-05,0.0000000000e+00
171,4.0074639320e+00,2.2372770763e-04,6.5661108398e+02,1.2579677105e+00,8.7966916908e-05,0.0000000000e+00
172,4.0081863403e+00,3.3056734537e-05,1.0272098389e+03,1.2757529020e+00,-3.9779662620e-04,0.0000000000e+00
173,4.0085687637e+00,2.5574429310e-04,5.8776550293e+02,1.2463607788e+00,-8.6975094746e-05,0.0000000000e+00
174,4.0087928772e+00,2.6330229593e-04,5.8776550293e+02,1.2463607788e+00,-8.6975094746e-05,0.0000000000e+00
175,4.0095114708e+00,5.8333978814e-05,9.3105859375e+02,1.2772637606e+00,-5.8578490280e-04,0.0000000000e+00
176,4.0096359253e+00,1.7013566685e-04,5.0331250000e+02,1.2434532642e+00,-1.7295837461e-04,0.0000000000e+00
177,4.0097155571e+00,1.7821583606e-04,5.0331250000e+02,1.2434532642e+00,-1.7295837461e-04,0.0000000000e+00
178,4.0104432106e+00,2.9443914536e-04,7.1810839844e+02,1.2688171864e+00,-3.9352418389e-04,0.0000000000e+00
179,4.0109562874e+00,2.8748408658e-04,7.1810839844e+02,1.2688171864e+00,-3.9352418389e-04,0.0000000000e+00
180,4.0108404160e+00,1.4674421436e-05,2.7152133179e+02,1.2408448458e+00,-2.4063111050e-04,0.0000000000e+00
181,4.0110950470e+00,1.4549896878e-04,4.1306582642e+02,1.2512758970e+00,-4.1397093446e-04,0.0000000000e+00
182,4.0112080574e+00,1.4772405848e-04,4.1306582642e+02,1.2512758970e+00,-4.1397093446e-04,0.0000000000e+00
183,4.0113115311e+00,1.4699299936e-04,4.1306582642e+02,1.2512758970e+00,-4.1397093446e-04,0.0000000000e+00
184,4.0114092827e+00,1.4692377590e-04,4.1306582642e+02,1.2512758970e+00,-4.1397093446e-04,0.0000000000e+00
185,4.0118737221e+00,1.5531547251e-04,1.6722697449e+02,1.2200243473e+00,-1.5304565022e-04,0.0000000000e+00
186,4.0120048523e+00,1.5346855798e-04,1.4132574463e+02,1.2441636324e+00,-2.7229308034e-04,0.0000000000e+00
187,4.0121393204e+00,1.5286848065e-04,1.4132574463e+02,1.2441636324e+00,-2.7229308034e-04,0.0000000000e+00
188,4.0122756958e+00,1.5185015218e-04,1.4132574463e+02,1.2441636324e+00,-2.7229308034e-04,0.0000000000e+00
189,4.0119695663e+00,1.3701482385e-04,-4.6864483643e+02,1.2127776146e+00,-4.4639586122e-04,0.0000000000e+00
190,4.0116763115e+00,1.3942456280e-04,-4.6864483643e+02,1.2127776146e+00,-4.4639586122e-04,0.0000000000e+00
191,4.0113806725e+00,1.4191155788e-04,-4.6864483643e+02,1.2127776146e+00,-4.4639586122e-04,0.0000000000e+00
192,4.0110840797e+00,1.4456146164e-04,-4.6864483643e+02,1.2127776146e+00,-4.4639586122e-04,0.0000000000e+00
193,4.0109987259e+00,3.5056888009e-05,-6.0237011719e+02,1.2351176739e+00,1.3351440430e-05,0.0000000000e+00
194,4.0110263824e+00,3.2716663554e-05,-6.0237011719e+02,1.2351176739e+00,1.3351440430e-05,0.0000000000e+00
195,4.0105390549e+00,1.5025127504e-04,-5.1609289551e+02,1.2033355236e+00,-3.1379700522e-04,0.0000000000e+00
196,4.0099329948e+00,1.4818699856e-04,-5.1609289551e+02,1.2033355236e+00,-3.1379700522e-04,0.0000000000e+00
197,4.0098462105e+00,-8.9889465016e-05,-6.2467675781e+02,1.2197157145e+00,-1.5525818162e-04,0.0000000000e+00
198,4.0099992752e+00,-8.3458260633e-05,-6.2467675781e+02,1.2197157145e+00,-1.5525818162e-04,0.0000000000e+00
199,4.0093770027e+00,1.9567215350e-04,-5.2142077637e+02,1.1850802898e+00,-3.5583495628e-04,0.0000000000e+00
200,4.0089497566e+00,1.8766710127e-05,-6.1445666504e+02,1.2052987814e+00,-2.9045104748e-04,0.0000000000e+00
201,4.0087022781e+00,2.6960718969e-05,-6.1445666504e+02,1.2052987814e+00,-2.9045104748e-04,0.0000000000e+00
202,4.0084481239e+00,2.6523957786e-05,-6.1445666504e+02,1.2052987814e+00,-2.9045104748e-04,0.0000000000e+00
203,4.0074801445e+00,2.5237373848e-05,-5.3858758545e+02,1.1832898855e+00,-3.2257079147e-04,0.0000000000e+00
204,4.0073513985e+00,9.0939778602e-05,-6.3186560059e+02,1.1953890324e+00,-3.1036377186e-04,0.0000000000e+00
205,4.0071740150e+00,1.1598541460e-04,-6.3186560059e+02,1.1953890324e+00,-3.1036377186e-04,0.0000000000e+00
206,4.0069522858e+00,5.0909358833e-05,-6.3286358643e+02,1.1950191259e+00,-3.0357361538e-04,0.0000000000e+00
207,4.0059804916e+00,-5.2712050092e-05,-5.1233422852e+02,1.1891539097e+00,-2.6405334938e-04,0.0000000000e+00
208,4.0050630569e+00,-7.7307049651e-05,-5.1233422852e+02,1.1891539097e+00,-2.6405334938e-04,0.0000000000e+00
209,4.0050277710e+00,-1.1389418069e-04,-7.4802294922e+02,1.1975929737e+00,-2.4276733166e-04,0.0000000000e+00
210,4.0046453476e+00,-1.0875647422e-04,-5.3878533936e+02,1.1863679886e+00,-3.2806396484e-04,0.0000000000e+00
211,4.0042300224e+00,-1.0946352268e-04,-5.3878533936e+02,1.1863679886e+00,-3.2806396484e-04,0.0000000000e+00
212,4.0042424202e+00,3.0088762287e-04,-7.3475311279e+02,1.1906450987e+00,-2.1461486176e-04,0.0000000000e+00
213,4.0037560463e+00,1.6965408577e-04,-7.3851098633e+02,1.1874209642e+00,-2.1751403983e-04,0.0000000000e+00
214,4.0029363632e+00,-1.1149699276e-04,-4.3958596802e+02,1.1589281559e+00,-4.2709350237e-04,0.0000000000e+00
215,4.0030865669e+00,2.3131005582e-04,-7.4064874268e+02,1.1889615059e+00,-3.3271790016e-04,0.0000000000e+00
216,4.0029411316e+00,2.3211337975e-04,-7.4064874268e+02,1.1889615059e+00,-3.3271790016e-04,0.0000000000e+00
