step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
134,1.9993799925e+00,-4.2180862511e-04,-1.3893592834e+02,1.2597616911e+00,1.2496947602e-04,6.9229296875e+04
135,1.9983922243e+00,3.9442797424e-04,-1.4946859741e+02,1.2226165533e+00,5.2566527302e-05,6.9216679688e+04
136,1.9998906851e+00,4.9810914788e-04,-8.2479278564e+01,1.2539952993e+00,-1.3504028902e-04,6.9202453125e+04
137,1.9970434904e+00,-3.4637757926e-04,-1.5964385986e+02,1.2515141964e+00,2.1949768416e-04,6.9189617188e+04
138,1.9988644123e+00,3.7142424844e-04,-7.4741249084e+01,1.2327187061e+00,-2.2163390531e-04,6.9176445312e+04
139,1.9976404905e+00,4.2831845349e-04,-1.5907119751e+02,1.2473603487e+00,1.3038635370e-04,6.9164320312e+04
140,1.9979329109e+00,5.0076190382e-04,-6.4265472412e+01,1.2339813709e+00,3.9596558054e-05,6.9152429688e+04
141,1.9955763817e+00,-4.2826196295e-04,-1.4048120117e+02,1.2413182259e+00,8.0032346887e-05,6.9141328125e+04
142,1.9972045422e+00,3.5878026392e-04,-6.7438652039e+01,1.2479785681e+00,3.0822753615e-05,6.9131773438e+04
143,1.9948391914e+00,-1.8609162362e-04,-1.2400563812e+02,1.2231051922e+00,-3.7002562749e-05,6.9123390625e+04
144,1.9949156046e+00,-1.0922763613e-04,-6.3414360046e+01,1.2394297123e+00,7.1411130193e-05,6.9118031250e+04
145,1.9949131012e+00,-8.3812141384e-05,-6.3414360046e+01,1.2394297123e+00,7.1411130193e-05,6.9112726562e+04
146,1.9948726892e+00,-7.0359761594e-05,-6.3414360046e+01,1.2394297123e+00,7.1411130193e-05,6.9107484375e+04
147,1.9949170351e+00,1.4332637875e-05,-1.0882576752e+02,1.2276419401e+00,-1.6998291539e-04,6.9101859375e+04
148,1.9944494963e+00,-1.5867006732e-04,-4.3373950958e+01,1.2439091206e+00,7.7209471783e-05,6.9102164062e+04
149,1.9941240549e+00,-2.0854904142e-04,-4.3373950958e+01,1.2439091206e+00,7.7209471783e-05,6.9102460938e+04
150,1.9938400984e+00,-2.2210177849e-04,-4.3373950958e+01,1.2439091206e+00,7.7209471783e-05,6.9102796875e+04
151,1.9947135448e+00,2.8509364347e-04,-2.1959505081e+01,1.2440756559e+00,-2.2933959553e-04,6.9104476562e+04
152,1.9936655760e+00,-8.3119099145e-05,-2.5464385986e+01,1.2325172424e+00,9.9563600088e-05,6.9111312500e+04
153,1.9947148561e+00,1.9240488473e-04,2.8444387436e+01,1.2352985144e+00,-2.1682739316e-04,6.9118195312e+04
154,1.9930616617e+00,-2.4758576183e-04,-1.7567922592e+01,1.2466963530e+00,2.8915406438e-04,6.9130117188e+04
155,1.9955755472e+00,4.2610647506e-04,7.9625808716e+01,1.2248345613e+00,-2.3349761614e-04,6.9142578125e+04
156,1.9931695461e+00,-3.3906847239e-04,8.2845849991e+00,1.2524504662e+00,1.8184661167e-04,6.9158953125e+04
157,1.9959882498e+00,3.7131481804e-04,1.1569052124e+02,1.2204883099e+00,-2.0141601271e-04,6.9176304688e+04
158,1.9936083555e+00,-1.9954684831e-04,1.6633934021e+01,1.2537614107e+00,1.5861511929e-04,6.9197250000e+04
159,1.9966305494e+00,3.0147327925e-04,1.8008123779e+02,1.2216056585e+00,-1.7826080148e-04,6.9218867188e+04
160,1.9942327738e+00,-1.7749071412e-04,-1.9644398689e+00,1.2543241978e+00,9.2201233201e-05,6.9243750000e+04
161,1.9973309040e+00,2.1039317653e-04,2.4615371704e+02,1.2196688652e+00,-1.1127471953e-04,6.9268890625e+04
162,1.9950271845e+00,-7.3842355050e-05,-3.1836019516e+01,1.2578145266e+00,4.1694642277e-05,6.9296734375e+04
163,1.9981133938e+00,3.3814234484e-05,3.1587927246e+02,1.2144396305e+00,-9.4909664767e-05,6.9324539062e+04
164,1.9980769157e+00,3.3984822221e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9354375000e+04
165,1.9978679419e+00,3.7429376971e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9384226562e+04
166,1.9976969957e+00,3.6143086618e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9414093750e+04
167,1.9975999594e+00,3.4008829971e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9444007812e+04
168,1.9975827932e+00,3.1561809010e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9474000000e+04
169,1.9976464510e+00,2.8876139550e-04,8.2781021118e+01,1.2376649380e+00,1.5106201317e-05,6.9504031250e+04
170,1.9989669323e+00,-4.7685569734e-04,3.2411380005e+02,1.2432963848e+00,-2.4181365734e-04,6.9532976562e+04
171,1.9998644590e+00,-3.5872322042e-04,1.0420507050e+02,1.2468322515e+00,-4.7149656893e-05,6.9561757812e+04
