step,volume,free_surface_area,vx_10_20,pressure_25_30
187,1.5674012899e+00,2.8249986172e+00,4.6386282891e-02,8.7777216797e+03
188,1.5674517155e+00,2.8349986076e+00,4.6252686530e-02,8.7806103516e+03
189,1.5675770044e+00,2.8399987221e+00,4.8493221402e-02,8.8316103516e+03
190,1.5679024458e+00,2.8349988461e+00,4.7870296985e-02,8.8260039062e+03
191,1.5677527189e+00,2.8449985981e+00,4.8215143383e-02,8.8717216797e+03
192,1.5676530600e+00,2.8499987125e+00,4.5000933111e-02,8.8671953125e+03
193,1.5674535036e+00,2.8699986935e+00,4.7972396016e-02,8.9292255859e+03
194,1.5673286915e+00,2.8549988270e+00,4.6200409532e-02,8.8936992188e+03
195,1.5675790310e+00,2.8649985790e+00,4.5576542616e-02,9.0089765625e+03
196,1.5676792860e+00,2.8499987125e+00,4.9076363444e-02,8.8272304688e+03
197,1.5677294731e+00,2.8649985790e+00,4.6056188643e-02,9.1228798828e+03
198,1.5676295757e+00,2.8649985790e+00,4.8225831240e-02,8.9372089844e+03
199,1.5677298307e+00,2.8799984455e+00,4.7769479454e-02,8.9773720703e+03
200,1.5672048330e+00,2.8699984550e+00,4.8370081931e-02,8.9900849609e+03
201,1.5673799515e+00,2.8849983215e+00,4.7714095563e-02,9.0212890625e+03
202,1.5674802065e+00,2.8749983311e+00,5.0098765641e-02,8.9450781250e+03
203,1.5676052570e+00,2.8899984360e+00,4.8127926886e-02,9.0525546875e+03
204,1.5677053928e+00,2.8749985695e+00,4.9808222800e-02,8.9841738281e+03
205,1.5676805973e+00,2.8799984455e+00,5.0860706717e-02,8.9993535156e+03
206,1.5676559210e+00,2.9099984169e+00,5.0181634724e-02,9.1293847656e+03
207,1.5674307346e+00,2.8799986839e+00,4.9679186195e-02,8.9268876953e+03
208,1.5672559738e+00,2.8849985600e+00,5.0464801490e-02,9.1930029297e+03
209,1.5675312281e+00,2.8899984360e+00,5.2418943495e-02,9.0112060547e+03
210,1.5674813986e+00,2.9099986553e+00,5.3275421262e-02,9.0256181641e+03
211,1.5677313805e+00,2.8949985504e+00,4.9537047744e-02,9.0417148438e+03
212,1.5676816702e+00,2.9299986362e+00,4.6250119805e-02,9.1610312500e+03
213,1.5673567057e+00,2.9049985409e+00,4.9900788814e-02,9.0295654297e+03
214,1.5672568083e+00,2.8999986649e+00,4.9859751016e-02,9.1041445312e+03
215,1.5675820112e+00,2.9049985409e+00,5.0657432526e-02,9.0773642578e+03
216,1.5675070286e+00,2.9199986458e+00,4.6674899757e-02,9.1339101562e+03
217,1.5674822330e+00,2.9349985123e+00,5.1164701581e-02,9.0601025391e+03
218,1.5676074028e+00,2.9149985313e+00,4.9709979445e-02,9.2635478516e+03
219,1.5677824020e+00,2.9399983883e+00,5.1697455347e-02,9.0032822266e+03
220,1.5672825575e+00,2.9199986458e+00,5.0452765077e-02,9.2597500000e+03
221,1.5673828125e+00,2.9249987602e+00,4.7715276480e-02,9.2569453125e+03
222,1.5672826767e+00,2.9449982643e+00,5.0594307482e-02,9.1919169922e+03
