step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
182,2.9929404259e+00,-5.8453809470e-03,-1.7128648376e+02,1.4686897993e+00,1.4929321408e-01,1.0172332812e+05
183,2.9903545380e+00,-5.7064807042e-03,-1.8015164185e+02,1.4399769306e+00,1.7348985374e-01,1.0173395312e+05
184,2.9877243042e+00,-5.3737526760e-03,-1.8324313354e+02,1.4375844002e+00,1.8019466102e-01,1.0174349219e+05
185,2.9851253033e+00,-6.9396109320e-03,-1.8475758362e+02,1.4305940866e+00,1.8140666187e-01,1.0175441406e+05
186,2.9820311069e+00,-6.1189150438e-03,-1.7694194031e+02,1.4564195871e+00,1.9759379327e-01,1.0176255469e+05
187,2.9789795876e+00,-6.4068674110e-03,-1.6912014771e+02,1.4439401627e+00,2.0068335533e-01,1.0177071875e+05
188,2.9757468700e+00,-6.3270288520e-03,-1.6036633301e+02,1.4327491522e+00,1.8781942129e-01,1.0178157031e+05
189,2.9719691277e+00,-7.2353682481e-03,-1.4837493896e+02,1.4247748852e+00,1.9747546315e-01,1.0179385156e+05
190,2.9678165913e+00,-8.9499931782e-03,-1.3823364258e+02,1.4221142530e+00,2.1731998026e-01,1.0180850781e+05
191,2.9636273384e+00,-6.9131259806e-03,-1.2257525635e+02,1.4261721373e+00,2.3716424406e-01,1.0182505469e+05
192,2.9604036808e+00,-5.9207580052e-03,-1.0552168274e+02,1.4202715158e+00,2.1848976612e-01,1.0184547656e+05
193,2.9577481747e+00,-6.2445835210e-03,-9.2371749878e+01,1.4320423603e+00,2.1695089340e-01,1.0186706250e+05
194,2.9550046921e+00,-6.5187718719e-03,-7.2476158142e+01,1.4125642776e+00,2.4402770400e-01,1.0189240625e+05
195,2.9530241489e+00,-6.8674609065e-03,-5.1582168579e+01,1.4222847223e+00,2.4567376077e-01,1.0192273438e+05
196,2.9510324001e+00,-6.2760119326e-03,-2.7574537277e+01,1.4218565226e+00,2.6489093900e-01,1.0195824219e+05
197,2.9497539997e+00,-5.5123390630e-03,-5.4971508980e+00,1.4250546694e+00,2.5256538391e-01,1.0199676562e+05
198,2.9490065575e+00,-4.6090316027e-03,1.3233119965e+01,1.4148255587e+00,2.6565235853e-01,1.0203763281e+05
199,2.9495069981e+00,-3.4281474072e-03,3.3804199219e+01,1.4120130539e+00,2.5025323033e-01,1.0207981250e+05
200,2.9515171051e+00,-2.2707474418e-03,5.7541610718e+01,1.4183250666e+00,2.6712974906e-01,1.0212788281e+05
201,2.9540460110e+00,-9.2213827884e-04,8.2517189026e+01,1.4176193476e+00,2.7452841401e-01,1.0217777344e+05
202,2.9581248760e+00,-1.5682412777e-04,1.0013810730e+02,1.4171833992e+00,2.9372760653e-01,1.0223578125e+05
203,2.9631679058e+00,1.1896445649e-03,1.2657890320e+02,1.3913238049e+00,3.0296325684e-01,1.0229278125e+05
204,2.9693074226e+00,2.0394644234e-03,1.4008984375e+02,1.4189906120e+00,2.9353231192e-01,1.0235476562e+05
205,2.9778842926e+00,3.1672313344e-03,1.5508511353e+02,1.4024167061e+00,3.0279275775e-01,1.0241507812e+05
206,2.9873430729e+00,4.7042206861e-03,1.6332546997e+02,1.4083201885e+00,3.2231676579e-01,1.0247889062e+05
207,2.9979579449e+00,5.7978942059e-03,1.7137559509e+02,1.4122101068e+00,3.1305807829e-01,1.0254612500e+05
208,3.0089683533e+00,6.8125501275e-03,1.8149732971e+02,1.4186962843e+00,3.1967794895e-01,1.0261199219e+05
209,3.0210895538e+00,8.0206580460e-03,1.9292695618e+02,1.4230308533e+00,3.3488419652e-01,1.0268171094e+05
210,3.0348567963e+00,9.8321717232e-03,2.0230108643e+02,1.4227921963e+00,3.2014098763e-01,1.0275036719e+05
211,3.0479183197e+00,9.6959425136e-03,1.9688772583e+02,1.4161020517e+00,3.3042514324e-01,1.0281920312e+05
212,3.0648059845e+00,1.1262907647e-02,2.0253273010e+02,1.4228570461e+00,3.4114223719e-01,1.0288886719e+05
213,3.0820331573e+00,1.1921521276e-02,1.8913250732e+02,1.4270105362e+00,3.4964653850e-01,1.0295629688e+05
214,3.1005811691e+00,1.3159330934e-02,1.7717762756e+02,1.4060661793e+00,3.5139998794e-01,1.0302477344e+05
215,3.1192057133e+00,1.4530421235e-02,1.6594845581e+02,1.4210311174e+00,3.5283875465e-01,1.0308800000e+05
216,3.1391048431e+00,1.5858149156e-02,1.5303317261e+02,1.4223988056e+00,3.7111496925e-01,1.0314900781e+05
