step,vx_25_10,vy_25_10,Cd,Cl,singularity_count
131,3.8293182850e-01,-1.4628198743e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
132,3.8294285536e-01,-1.4628082514e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
133,3.8293924928e-01,-1.4627835155e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
134,3.8293871284e-01,-1.4627955854e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
135,3.8292968273e-01,-1.4627738297e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
136,3.8292446733e-01,-1.4627224207e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
137,3.8293203712e-01,-1.4627505839e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
138,3.8291952014e-01,-1.4627045393e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
139,3.8292777538e-01,-1.4627118409e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
140,3.8291564584e-01,-1.4626675844e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
141,3.8292279840e-01,-1.4626938105e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
142,3.8291206956e-01,-1.4626365900e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
143,3.8292059302e-01,-1.4626853168e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
144,3.8290512562e-01,-1.4625464380e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
145,3.8291811943e-01,-1.4627207816e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
146,3.8291260600e-01,-1.4625935256e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
147,3.8291507959e-01,-1.4626622200e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
148,3.8289567828e-01,-1.4625358582e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
149,3.8291135430e-01,-1.4625990391e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
150,3.8289365172e-01,-1.4625383914e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
151,3.8290545344e-01,-1.4625357091e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
152,3.8289186358e-01,-1.4625397325e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
153,3.8290092349e-01,-1.4624905586e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
154,3.8288864493e-01,-1.4625093341e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
155,3.8289803267e-01,-1.4624875784e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
156,3.8288369775e-01,-1.4624576271e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
157,3.8289552927e-01,-1.4624847472e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
158,3.8287994266e-01,-1.4624173939e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
159,3.8289079070e-01,-1.4624632895e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
160,3.8287743926e-01,-1.4623871446e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
161,3.8288617134e-01,-1.4624378085e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
162,3.8287311792e-01,-1.4623527229e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
163,3.8288402557e-01,-1.4624236524e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
164,3.8286712766e-01,-1.4623074234e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
165,3.8286763430e-01,-1.4623448253e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
166,3.8286665082e-01,-1.4623080194e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
167,3.8286724687e-01,-1.4622649550e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
168,3.8287666440e-01,-1.4623661339e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
169,3.8285976648e-01,-1.4622560143e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
170,3.8286879659e-01,-1.4623084664e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
171,3.8285681605e-01,-1.4622433484e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
172,3.8286310434e-01,-1.4622521400e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
173,3.8285547495e-01,-1.4622573555e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
174,3.8285878301e-01,-1.4621986449e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
175,3.8285106421e-01,-1.4622451365e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
176,3.8285893202e-01,-1.4621837437e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
177,3.8284337521e-01,-1.4621958137e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
178,3.8285619020e-01,-1.4621759951e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
179,3.8284060359e-01,-1.4621560276e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
180,3.8285109401e-01,-1.4621508121e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
181,3.8283938169e-01,-1.4621371031e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
182,3.8284561038e-01,-1.4621104300e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
183,3.8283666968e-01,-1.4621239901e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
184,3.8284245133e-01,-1.4620769024e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
185,3.8283047080e-01,-1.4620842040e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
186,3.8284209371e-01,-1.4620807767e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
187,3.8282406330e-01,-1.4620187879e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
188,3.8284027576e-01,-1.4620965719e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
189,3.8281834126e-01,-1.4619651437e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
190,3.8283741474e-01,-1.4620751143e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
191,3.8281634450e-01,-1.4619474113e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
192,3.8283100724e-01,-1.4620201290e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
193,3.8281506300e-01,-1.4619570971e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
194,3.8282451034e-01,-1.4619742334e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
195,3.8281294703e-01,-1.4619274437e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
196,3.8282251358e-01,-1.4619587362e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
197,3.8281738758e-01,-1.4619138837e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
198,3.8281869888e-01,-1.4619117975e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
199,3.8281595707e-01,-1.4619559050e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
200,3.8280263543e-01,-1.4618386328e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
201,3.8281449676e-01,-1.4619103074e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
202,3.8279843330e-01,-1.4618135989e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
203,3.8281050324e-01,-1.4618739486e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
204,3.8279423118e-01,-1.4618013799e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
205,3.8280877471e-01,-1.4618298411e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
206,3.8278865814e-01,-1.4617836475e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
207,3.8280820847e-01,-1.4618097246e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
208,3.8278493285e-01,-1.4617179334e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
209,3.8280373812e-01,-1.4618305862e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
210,3.8278245926e-01,-1.4616581798e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
211,3.8280045986e-01,-1.4618195593e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
212,3.8277697563e-01,-1.4616401494e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
213,3.8279721141e-01,-1.4617681503e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
214,3.8277283311e-01,-1.4616474509e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
215,3.8278973103e-01,-1.4617174864e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
216,3.8277515769e-01,-1.4616249502e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
217,3.8277524710e-01,-1.4616405964e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
218,3.8277059793e-01,-1.4616267383e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
219,3.8276636600e-01,-1.4616099000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
220,3.8276806474e-01,-1.4616468549e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
221,3.8277566433e-01,-1.4616674185e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
222,3.8276347518e-01,-1.4615336061e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
223,3.8277491927e-01,-1.4616359770e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
224,3.8276135921e-01,-1.4614973962e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
225,3.8277077675e-01,-1.4615909755e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
226,3.8275778294e-01,-1.4614923298e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
227,3.8276690245e-01,-1.4615361392e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
228,3.8275316358e-01,-1.4615023136e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
229,3.8276550174e-01,-1.4615108073e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
230,3.8274744153e-01,-1.4614434540e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
231,3.8276320696e-01,-1.4615279436e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
232,3.8274547458e-01,-1.4613762498e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
233,3.8275957108e-01,-1.4615049958e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
234,3.8274109364e-01,-1.4613811672e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
235,3.8275647163e-01,-1.4614340663e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
236,3.8273695111e-01,-1.4614079893e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
237,3.8274982572e-01,-1.4613719285e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
238,3.8273927569e-01,-1.4613935351e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
239,3.8273796439e-01,-1.4613519609e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
240,3.8273924589e-01,-1.4613637328e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
241,3.8274079561e-01,-1.4613728225e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
242,3.8274258375e-01,-1.4613795280e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
243,3.8273864985e-01,-1.4613372087e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
244,3.8273343444e-01,-1.4612835646e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
245,3.8272926211e-01,-1.4613053203e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
246,3.8272738457e-01,-1.4612455666e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
247,3.8273027539e-01,-1.4612704515e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
248,3.8272345066e-01,-1.4612345397e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
249,3.8272559643e-01,-1.4612387121e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
