step,vx_25_25,vy_25_25
284,4.8637351394e-01,-4.8265701532e-01
285,4.8641449213e-01,-4.8250001669e-01
286,4.8634338379e-01,-4.8246014118e-01
287,4.8625975847e-01,-4.8243302107e-01
288,4.8632696271e-01,-4.8224991560e-01
289,4.8612114787e-01,-4.8236227036e-01
290,4.8621219397e-01,-4.8213607073e-01
291,4.8614436388e-01,-4.8209998012e-01
292,4.8607608676e-01,-4.8205649853e-01
293,4.8596388102e-01,-4.8207008839e-01
294,4.8617953062e-01,-4.8172453046e-01
295,4.8580402136e-01,-4.8199561238e-01
296,4.8600250483e-01,-4.8166686296e-01
297,4.8580840230e-01,-4.8177081347e-01
298,4.8584967852e-01,-4.8158392310e-01
299,4.8571085930e-01,-4.8164778948e-01
300,4.8559179902e-01,-4.8163118958e-01
301,4.8556527495e-01,-4.8153421283e-01
302,4.8554587364e-01,-4.8142859340e-01
303,4.8561713099e-01,-4.8123997450e-01
304,4.8550021648e-01,-4.8126715422e-01
305,4.8555079103e-01,-4.8109698296e-01
306,4.8543229699e-01,-4.8110249639e-01
307,4.8529741168e-01,-4.8111972213e-01
308,4.8549425602e-01,-4.8080709577e-01
309,4.8514622450e-01,-4.8104569316e-01
310,4.8534160852e-01,-4.8071745038e-01
311,4.8516511917e-01,-4.8079803586e-01
312,4.8521813750e-01,-4.8061197996e-01
313,4.8506382108e-01,-4.8065596819e-01
314,4.8495522141e-01,-4.8065137863e-01
315,4.8493552208e-01,-4.8054578900e-01
316,4.8497083783e-01,-4.8038327694e-01
317,4.8492875695e-01,-4.8032534122e-01
318,4.8483878374e-01,-4.8028659821e-01
319,4.8486226797e-01,-4.8015165329e-01
320,4.8468056321e-01,-4.8021918535e-01
321,4.8487633467e-01,-4.7988563776e-01
322,4.8448902369e-01,-4.8018208146e-01
323,4.8470160365e-01,-4.7982174158e-01
324,4.8465254903e-01,-4.7976249456e-01
325,4.8457691073e-01,-4.7973042727e-01
326,4.8436889052e-01,-4.7980538011e-01
327,4.8449122906e-01,-4.7956147790e-01
328,4.8423635960e-01,-4.7970199585e-01
329,4.8436510563e-01,-4.7944760323e-01
330,4.8419266939e-01,-4.7950711846e-01
331,4.8424184322e-01,-4.7932860255e-01
332,4.8415875435e-01,-4.7929313779e-01
333,4.8404094577e-01,-4.7928047180e-01
334,4.8402202129e-01,-4.7919034958e-01
335,4.8398175836e-01,-4.7910743952e-01
336,4.8394179344e-01,-4.7902432084e-01
337,4.8386418819e-01,-4.7896665335e-01
338,4.8381587863e-01,-4.7890439630e-01
339,4.8372021317e-01,-4.7886568308e-01
340,4.8370066285e-01,-4.7877258062e-01
341,4.8365256190e-01,-4.7869560122e-01
342,4.8360171914e-01,-4.7862076759e-01
343,4.8354685307e-01,-4.7854790092e-01
344,4.8349419236e-01,-4.7847285867e-01
345,4.8344329000e-01,-4.7839617729e-01
346,4.8339378834e-01,-4.7831815481e-01
347,4.8334556818e-01,-4.7823894024e-01
348,4.8329851031e-01,-4.7815871239e-01
349,4.8325246572e-01,-4.7807750106e-01
350,4.8320740461e-01,-4.7799548507e-01
351,4.8316323757e-01,-4.7791260481e-01
352,4.8311999440e-01,-4.7782891989e-01
353,4.8307758570e-01,-4.7774451971e-01
354,4.8303601146e-01,-4.7765937448e-01
355,4.8299527168e-01,-4.7757357359e-01
356,4.8295527697e-01,-4.7748702765e-01
357,4.8291599751e-01,-4.7739982605e-01
358,4.8287749290e-01,-4.7731196880e-01
359,4.8283970356e-01,-4.7722342610e-01
360,4.8280265927e-01,-4.7713425756e-01
361,4.8276633024e-01,-4.7704443336e-01
362,4.8273068666e-01,-4.7695398331e-01
363,4.8269572854e-01,-4.7686278820e-01
364,4.8266145587e-01,-4.7677090764e-01
365,4.8262786865e-01,-4.7667840123e-01
366,4.8259496689e-01,-4.7658523917e-01
367,4.8256272078e-01,-4.7649133205e-01
368,4.8253118992e-01,-4.7639676929e-01
369,4.8250034451e-01,-4.7630155087e-01
370,4.8247015476e-01,-4.7620558739e-01
371,4.8244071007e-01,-4.7610881925e-01
372,4.8241186142e-01,-4.7601139545e-01
373,4.8175895214e-01,-4.7665008903e-01
374,4.8165008426e-01,-4.7663044930e-01
375,4.8156261444e-01,-4.7657305002e-01
376,4.8147857189e-01,-4.7651216388e-01
377,4.8139721155e-01,-4.7647869587e-01
378,4.8130279779e-01,-4.7644168139e-01
379,4.8126509786e-01,-4.7634634376e-01
380,4.8116934299e-01,-4.7630992532e-01
381,4.8123767972e-01,-4.7610491514e-01
382,4.8107355833e-01,-4.7614678741e-01
383,4.8106676340e-01,-4.7603312135e-01
384,4.8102718592e-01,-4.7592663765e-01
385,4.8086062074e-01,-4.7597405314e-01
386,4.8089081049e-01,-4.7580650449e-01
387,4.8081552982e-01,-4.7576448321e-01
388,4.8069202900e-01,-4.7574070096e-01
389,4.8065865040e-01,-4.7567296028e-01
390,4.8067674041e-01,-4.7549003363e-01
391,4.8053619266e-01,-4.7551921010e-01
392,4.8053285480e-01,-4.7539746761e-01
393,4.8032188416e-01,-4.7545528412e-01
394,4.8033970594e-01,-4.7532606125e-01
395,4.8014658689e-01,-4.7537431121e-01
396,4.8029872775e-01,-4.7509568930e-01
397,4.8021256924e-01,-4.7504141927e-01
398,4.8012548685e-01,-4.7500714660e-01
399,4.7996005416e-01,-4.7505033016e-01
400,4.7987842560e-01,-4.7498708963e-01
401,4.7980043292e-01,-4.7494587302e-01
402,4.7976011038e-01,-4.7486442327e-01
403,4.7974744439e-01,-4.7473594546e-01
404,4.7946158051e-01,-4.7489753366e-01
405,4.7970923781e-01,-4.7452521324e-01
406,4.7957462072e-01,-4.7451916337e-01
407,4.7943547368e-01,-4.7453206778e-01
408,4.7923254967e-01,-4.7459343076e-01
409,4.7938892245e-01,-4.7432580590e-01
410,4.7909978032e-01,-4.7448360920e-01
411,4.7917723656e-01,-4.7428005934e-01
412,4.7901302576e-01,-4.7431126237e-01
413,4.7904402018e-01,-4.7414475679e-01
414,4.7876009345e-01,-4.7430402040e-01
415,4.7881424427e-01,-4.7413071990e-01
416,4.7871449590e-01,-4.7408226132e-01
417,4.7867298126e-01,-4.7400954366e-01
418,4.7865495086e-01,-4.7391033173e-01
419,4.7851771116e-01,-4.7388735414e-01
420,4.7843137383e-01,-4.7387656569e-01
421,4.7849631310e-01,-4.7367280722e-01
422,4.7830012441e-01,-4.7372508049e-01
423,4.7815063596e-01,-4.7374492884e-01
424,4.7836738825e-01,-4.7340384126e-01
425,4.7814014554e-01,-4.7350582480e-01
426,4.7822201252e-01,-4.7330734134e-01
427,4.7788813710e-01,-4.7352689505e-01
428,4.7804892063e-01,-4.7320204973e-01
429,4.7774982452e-01,-4.7342386842e-01
430,4.7775718570e-01,-4.7327858210e-01
431,4.7768244147e-01,-4.7321763635e-01
432,4.7764772177e-01,-4.7311636806e-01
433,4.7751918435e-01,-4.7313141823e-01
434,4.7752824426e-01,-4.7297164798e-01
435,4.7742486000e-01,-4.7297370434e-01
436,4.7733941674e-01,-4.7291162610e-01
437,4.7730538249e-01,-4.7283434868e-01
438,4.7723981738e-01,-4.7276422381e-01
